"x"
54000.6869308247
53997.5215728591
53894.6230747523
53803.4071758977
53940.8255133437
53964.5542387108
53904.6129215946
53851.6991075391
53840.1153989152
53681.6914742148
53640.6378329554
53666.7829855681
53735.7730118532
53616.7285975451
53419.7113111275
53402.7808328993
53314.7461855702
53409.743453209
53548.7458428017
53588.7462681604
53551.7454270183
53443.7454483077
53416.7457124928
53367.7456564287
53421.7455826638
53536.745614296
53543.7456319121
53479.7456185419
53500.7456154198
53539.7456202646
53411.7456203562
53360.7456187946
53497.7456190567
53563.7456195056
53465.7456193383
53447.7456192264
53484.7456193006
53368.7456193225
53347.7456192948
53417.745619293
53427.7456193021
53013.745619301
53091.6409643563
53257.8502742412
52902.7456192999
52789.7456192995
52777.7456192993
52847.7456192995
52527.7456192995
52878.7456192994
